B19187497           5214201601297501043162296   100.98      1      0    16.00  0.00  0.00
B19187497           5214201601297501054503095    27.01      2      0    16.00  0.00  0.00
B19187497           5214201601297501064560194    32.02      1      0     0.00  0.00  0.00
B19187497           5214201601297501065030405    17.41      9      0     0.00  0.00  0.00
B19187498           5214201601297503013040863   187.52      2      0     0.00  0.00  5.00
B19187498           5214201601297503013040870   375.85      2      0     0.00  0.00  5.00
B19187498           5214201601297503013040894   171.18      1      0     0.00  0.00  5.00
B19187498           5214201601297503013040900   346.67      2      0     0.00  0.00  5.00
B19187498           5214201601297503013040313   287.55      1      0     0.00  0.00  5.00
B19187498           5214201601297506205801327   471.33      1      0     0.00  0.00  5.00
B19187498           5214201601297506205801341   439.10      1      0     0.00  0.00  5.00
B19187499           5214201601297501298213019    30.07      1      0     0.00  0.00  0.00
B19187499           5214201601297501050624015    24.75      1      0    16.00  0.00  0.00
B19187499           5214201601297501022105078     9.73      1      0    16.00  0.00  0.00
B19187499           521420160129 650240007750    29.73      1      0    16.00  0.00  0.00
B19187499           521420160129 650240015762    66.98      1      0    16.00  0.00  0.00
B19187499           521420160129 650240019999    75.62      1      0     0.00  0.00  0.00
B19187499           5214201601297501035908147    32.23      1      0    16.00  0.00  0.00
B19187499           521420160129 650240020568    18.55      2      0    16.00  0.00  0.00
B19187499           521420160129 729513100488    63.76      1      0    16.00  0.00  0.00
B19187499           521420160129 650240007019    73.75      5      0    16.00  0.00  0.00
B19187499           5214201601297501008497593    19.98      3      0     0.00  0.00  0.00
B19187499           5214201601297501318697409   108.32      1      0     0.00  0.00  0.00
B19187499           521420160129 650240011818   154.69      9      0     0.00  0.00  0.00
B19187499           521420160129 310158096740    68.22      1      0     0.00  0.00  0.00
B19187499           521420160129 650240013805    46.49      2      0     0.00  0.00  0.00
B19187499           521420160129 650240014468   100.50      1      0    16.00  0.00  0.00
B19187499           521420160129 650240014451   100.50      1      0    16.00  0.00  0.00
B19187499           521420160129 650240004278    14.83      2      0    16.00  0.00  0.00
B19187499           521420160129 650240009709    66.98      1      0    16.00  0.00  0.00
